,seed,actions
30,30,"[0, 2, 3, 1, 2]"
31,31,"[3, 2, 1, 3, 2, 3, 1, 3, 3, 3, 3, 0, 2, 2, 0, 2, 3, 1, 3, 3, 1, 2, 2, 2, 2, 0, 3, 2, 3, 1, 2, 2, 0, 0, 3, 2, 3, 1, 3, 3, 0, 2, 3, 1, 3, 2, 3, 1, 2, 2, 2, 2, 0, 0, 3, 2, 3, 1, 3, 3, 3, 1, 3, 0, 2, 3, 1, 2, 2, 2, 2, 2, 0, 3, 3, 3, 0, 2, 3, 2, 1, 3, 3, 3, 1, 2, 2, 2, 2, 2, 0, 0, 0, 3, 1, 3, 3, 1, 3, 3, 1, 2, 2, 2, 2, 2, 0, 3, 3]"
32,32,"[3, 3, 2, 3, 1, 3, 1, 2, 1, 1, 3, 0]"
33,33,"[3, 3, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 0, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 2, 3, 2, 0, 3, 0, 2, 2, 2, 1, 1, 3, 2, 3, 0, 3, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 3, 3, 0, 2, 3, 3, 1, 2, 2, 0, 0, 2, 2, 2, 1, 1, 3, 2, 3, 0, 2, 0, 3, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 1, 3, 3, 2, 3, 0, 3, 0, 2, 2, 2, 1, 3, 2, 3, 1, 3, 3, 0, 2, 3, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 2, 0, 3, 1, 3, 2, 3, 0, 2, 2, 2, 0, 3]"
34,34,"[3, 1, 3, 2, 2, 1, 1, 3, 1, 1, 2, 0, 3, 0, 0, 2, 1, 3, 1, 1, 2, 0, 3, 0, 0, 2, 0, 0, 3, 1, 1, 1, 1, 2, 0, 0]"
35,35,[]
36,36,"[3, 2, 1, 2, 2, 0, 3, 2, 3, 1, 3, 3, 2, 3, 1, 2, 2, 2, 0, 3, 0, 3, 2, 3, 1, 3, 3, 2, 3, 1, 3, 0]"
37,37,"[3, 2, 0, 0, 3, 1, 2, 1, 1, 1, 3, 3]"
38,38,[]
39,39,[]
40,40,[]
41,41,"[3, 1, 2, 3, 0, 2, 2, 1, 2, 1, 3, 3, 1, 3, 0, 2, 3, 1, 3, 3, 0, 2, 2, 3, 3, 1, 2, 2, 2, 2, 2, 0, 3, 0, 3, 0, 3, 1, 2, 1, 3, 1, 2, 3, 3, 3, 0, 2, 3, 2, 1, 2, 2, 0, 2, 2, 1, 3, 3, 3, 0, 3, 3, 1, 2, 2, 2, 3, 3, 3, 0, 2, 2, 2, 2, 2, 0, 3, 3, 0, 3, 1, 2, 3, 0, 2, 2, 1, 2, 1, 3, 3, 1, 2, 3, 0, 3, 2, 3, 1, 3, 3, 0, 2, 2, 2, 3, 3, 3, 1, 2, 2, 2, 0, 0, 3, 0, 2, 2, 1, 2, 1, 3, 2, 3, 1, 3, 0, 3, 0, 2, 3, 2, 0, 2, 1, 3, 1, 2]"
42,42,"[2, 2, 2, 2, 0, 3, 3, 0, 3, 0, 2, 2, 0, 3, 3, 3, 0, 2, 2, 2, 2, 2, 1, 3, 2, 3, 1, 3, 3, 3, 1, 2, 2, 2, 2, 1, 3, 3, 3, 1, 3, 3, 0, 2]"
